         vacuumPipe1  |                root  |            straightVacuumPipe  |                               0*mm 0*mm 1457.9*mm  |                                   0 0 0  | aaffff   |                Tube  |                        0*mm 24.52*mm 954.9*mm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
       vacuumInPipe1  |         vacuumPipe1  |            straightVacuumPipe  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 000000   |                Tube  |                       0*mm 22.924*mm 954.9*mm 0*deg 360*deg  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
         vacuumPipe2  |                root  |            straightVacuumPipe  |                             0*mm 0*mm 2621.735*mm  |                                   0 0 0  | aaffff   |                Tube  |                     0*mm 32.925*mm 132.235*mm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
       vacuumInPipe2  |         vacuumPipe2  |            straightVacuumPipe  |                                             0 0 0  |                                   0 0 0  | 000000   |                Tube  |                     0*mm 24.275*mm 132.235*mm 0*deg 360*deg  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
         vacuumPipe3  |                root  |            straightVacuumPipe  |                              0*mm 0*mm 2451.15*mm  |                                   0 0 0  | aaffff   |                Tube  |                  27.375*mm 32.925*mm 38.15*mm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
       vacuumInPipe3  |                root  |            straightVacuumPipe  |                              0*mm 0*mm 2451.15*mm  |                                   0 0 0  | 000000   |                Tube  |                       0*mm 22.924*mm 38.15*mm 0*deg 360*deg  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
al_window_vacuum_entrance  |                root  |50 mm thick aluminum window downstream  |                             0*mm 0*mm 502.9625*mm  |                                   0 0 0  | aaaaff   |                Tube  |                      0*mm 22.924*mm 0.0375*mm 0*deg 360*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
         beam_vacuum  |                root  |      vacuum line inside torus  |                                             0 0 0  |                                   0 0 0  | 000000   |            Polycone  |0.0*deg 360*deg 7*counts 0.0*mm 0.0*mm 0.0*mm 0.0*mm 0.0*mm 0.0*mm 0.0*mm 33.274*mm 33.274*mm 32.2*mm 32.2*mm 59.8*mm 59.8*mm 63.7*mm 2754.17*mm 5006*mm 5006*mm 5013*mm 5062*mm 5732*mm 13900*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
    ElmoTungstenCone  |                root  |Tungsten moller shield - ELMO configuration  |                                             0 0 0  |                                   0 0 0  | dd8648   |            Polycone  |0.0*deg 360*deg 4*counts 26.1*mm 26.1*mm 37.62*mm 37.62*mm 53.28*mm 97.3744404172839*mm 97.3744404172839*mm 105.78*mm 716.42*mm 1249.4*mm 1249.4*mm 1351*mm  |          beamline_W  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     ElmoTungstenTip  |                root  |Tungsten Tip - ELMO configuration  |                                             0 0 0  |                                   0 0 0  | dd8648   |            Polycone  |0.0*deg 360*deg 4*counts 22*mm 22*mm 26.1*mm 26.1*mm 29*mm 29*mm 41.2*mm 53.28*mm 250*mm 360*mm 570*mm 716.42*mm  |          beamline_W  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     ElmoPbCylinder1  |                root  |Lead Cylinder 1 - ELMO configuration  |                                             0 0 0  |                                   0 0 0  | 999966   |            Polycone  |0.0*deg 360*deg 2*counts 37.62*mm 37.62*mm 105.78*mm 105.78*mm 1357.35*mm 1802.71*mm  |               G4_Pb  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     ElmoPbCylinder2  |                root  |Lead Cylinder 2 - ELMO configuration  |                                             0 0 0  |                                   0 0 0  | 999966   |            Polycone  |0.0*deg 360*deg 2*counts 37.62*mm 37.62*mm 105.78*mm 105.78*mm 1809.06*mm 2240.86*mm  |               G4_Pb  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
       ElmoSteelCase  |                root  |Steel Case - ELMO configuration  |                                             0 0 0  |                                   0 0 0  | 666666   |            Polycone  |0.0*deg 360*deg 2*counts 105.78*mm 105.78*mm 109.54*mm 109.54*mm 1352.35*mm 2255.86*mm  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     ElmoSupportPipe  |                root  |Steel support pipe - ELMO configuration  |                                             0 0 0  |                                   0 0 0  | 669966   |            Polycone  |0.0*deg 360*deg 4*counts 26.1*mm 26.1*mm 26.1*mm 26.1*mm 37.62*mm 37.62*mm 105.78*mm 105.78*mm 1249.4*mm 2240.86*mm 2240.86*mm 2268.36*mm  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
