          region1_s1  |                root  |CLAS12 Drift Chambers, Sector 1 Region 1  |                   92.5856824*cm 0*cm 219.28781*cm  |        ordered: zxy 90*deg 25*deg 0*deg  | aa0000   |              G4Trap  |13.98383*cm -0.1742584*rad 1.5707963*rad 83.6830376*cm 3.7950357*cm 89.6143798*cm 0*rad 91.8010333*cm 3.7950357*cm 97.9396162*cm 0*rad  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region1_s2  |                root  |CLAS12 Drift Chambers, Sector 2 Region 1  |           46.2928412*cm 80.181553*cm 219.28781*cm  |        ordered: zxy 30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |13.98383*cm -0.1742584*rad 1.5707963*rad 83.6830376*cm 3.7950357*cm 89.6143798*cm 0*rad 91.8010333*cm 3.7950357*cm 97.9396162*cm 0*rad  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region1_s3  |                root  |CLAS12 Drift Chambers, Sector 3 Region 1  |          -46.2928412*cm 80.181553*cm 219.28781*cm  |       ordered: zxy -30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |13.98383*cm -0.1742584*rad 1.5707963*rad 83.6830376*cm 3.7950357*cm 89.6143798*cm 0*rad 91.8010333*cm 3.7950357*cm 97.9396162*cm 0*rad  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region1_s4  |                root  |CLAS12 Drift Chambers, Sector 4 Region 1  |                  -92.5856824*cm 0*cm 219.28781*cm  |       ordered: zxy -90*deg 25*deg 0*deg  | aa0000   |              G4Trap  |13.98383*cm -0.1742584*rad 1.5707963*rad 83.6830376*cm 3.7950357*cm 89.6143798*cm 0*rad 91.8010333*cm 3.7950357*cm 97.9396162*cm 0*rad  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region1_s5  |                root  |CLAS12 Drift Chambers, Sector 5 Region 1  |         -46.2928412*cm -80.181553*cm 219.28781*cm  |      ordered: zxy -150*deg 25*deg 0*deg  | aa0000   |              G4Trap  |13.98383*cm -0.1742584*rad 1.5707963*rad 83.6830376*cm 3.7950357*cm 89.6143798*cm 0*rad 91.8010333*cm 3.7950357*cm 97.9396162*cm 0*rad  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region1_s6  |                root  |CLAS12 Drift Chambers, Sector 6 Region 1  |          46.2928412*cm -80.181553*cm 219.28781*cm  |      ordered: zxy -210*deg 25*deg 0*deg  | aa0000   |              G4Trap  |13.98383*cm -0.1742584*rad 1.5707963*rad 83.6830376*cm 3.7950357*cm 89.6143798*cm 0*rad 91.8010333*cm 3.7950357*cm 97.9396162*cm 0*rad  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region2_s1  |                root  |CLAS12 Drift Chambers, Sector 1 Region 2  |                153.1296731*cm 0*cm 336.7738086*cm  |        ordered: zxy 90*deg 25*deg 0*deg  | aa0000   |              G4Trap  |22.0499015*cm -0.1739299*rad 1.5707963*rad 133.1382066*cm 5.1401966*cm 144.4712057*cm 0*rad 145.953716*cm 5.1401966*cm 157.8828168*cm 0*rad  |               dcg10  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region2_s2  |                root  |CLAS12 Drift Chambers, Sector 2 Region 2  |        76.5648365*cm 132.614187*cm 336.7738086*cm  |        ordered: zxy 30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |22.0499015*cm -0.1739299*rad 1.5707963*rad 133.1382066*cm 5.1401966*cm 144.4712057*cm 0*rad 145.953716*cm 5.1401966*cm 157.8828168*cm 0*rad  |               dcg10  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region2_s3  |                root  |CLAS12 Drift Chambers, Sector 3 Region 2  |       -76.5648365*cm 132.614187*cm 336.7738086*cm  |       ordered: zxy -30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |22.0499015*cm -0.1739299*rad 1.5707963*rad 133.1382066*cm 5.1401966*cm 144.4712057*cm 0*rad 145.953716*cm 5.1401966*cm 157.8828168*cm 0*rad  |               dcg10  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region2_s4  |                root  |CLAS12 Drift Chambers, Sector 4 Region 2  |               -153.1296731*cm 0*cm 336.7738086*cm  |       ordered: zxy -90*deg 25*deg 0*deg  | aa0000   |              G4Trap  |22.0499015*cm -0.1739299*rad 1.5707963*rad 133.1382066*cm 5.1401966*cm 144.4712057*cm 0*rad 145.953716*cm 5.1401966*cm 157.8828168*cm 0*rad  |               dcg10  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region2_s5  |                root  |CLAS12 Drift Chambers, Sector 5 Region 2  |      -76.5648365*cm -132.614187*cm 336.7738086*cm  |      ordered: zxy -150*deg 25*deg 0*deg  | aa0000   |              G4Trap  |22.0499015*cm -0.1739299*rad 1.5707963*rad 133.1382066*cm 5.1401966*cm 144.4712057*cm 0*rad 145.953716*cm 5.1401966*cm 157.8828168*cm 0*rad  |               dcg10  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
